#id,enabled / disabled,"ship's ui name ($ - class, % - number, & - year)",country name,ship's type name,use this name till year,,,,,
@name,enabled,nameUi,country,shipType,tillYear,#suggested,#problems,#infoLink,#textBackup,#nameBackup
242,,Warasdiner,austria,dd,,,,,,
243,,Wildfang,austria,dd,,,,,,
244,,Balaton,austria,dd,,,,,,
245,,Csepel,austria,dd,,,,,,
246,,Lika,austria,dd,,,,,,
247,,Orjen,austria,dd,,,,,,
248,,Tátra,austria,dd,,,,,,
249,,Triglav,austria,dd,,,,,,
250,,Dukla,austria,dd,,,,,,
251,,Uzsok,austria,dd,,,,,,
252,,Python,austria,tb,,,,,,
253,,Kigyo,austria,tb,,,,,,
254,,Boa,austria,tb,,,,,,
255,,Cobra,austria,tb,,,,,,
256,,Kaiman,austria,tb,,,,,,
257,,Anaconda,austria,tb,,,,,,
258,,Alligator,austria,tb,,,,,,
259,,Krokodil,austria,tb,,,,,,
260,,Wal,austria,tb,,,,,,
261,,Seehund,austria,tb,,,,,,
262,,Delphin,austria,tb,,,,,,
263,,Narwal,austria,tb,,,,,,
264,,Hai,austria,tb,,,,,,
265,,Möwe,austria,tb,,,,,,
266,,Schwalbe,austria,tb,,,,,,
267,,Pinguin,austria,tb,,,,,,
268,,Drache,austria,tb,,,,,,
269,,Greif,austria,tb,,,,,,
270,,Triton,austria,tb,,,,,,
271,,Hydra,austria,tb,,,,,,
272,,Skorpion,austria,tb,,,,,,
273,,Phönix,austria,tb,,,,,,
274,,Krake,austria,tb,,,,,,
275,,Polyp,austria,tb,,,,,,
276,,Echse,austria,tb,,,,,,
277,,Molch,austria,tb,,,,,,
278,,Kormoran,austria,tb,,,,,,
279,,Alk,austria,tb,,,,,,
###,,,britain,,,,,,,
281,,Royal Sovereign,britain,bb,,,,,,
282,,Empress of India,britain,bb,,,,,,
283,,Repulse,britain,bb,,,,,,
284,,Ramillies,britain,bb,,,,,,
285,,Resolution,britain,bb,,,,,,
286,,Revenge,britain,bb,,,,,,
287,,Redoubtable,britain,bb,,,,,,
288,,Royal Oak,britain,bb,,,,,,
289,,Hood,britain,bb,,,,,,
290,,Centurion,britain,bb,,,,,,
291,,Barfleur,britain,bb,,,,,,
292,,Renown,britain,bb,,,,,,
293,,Magnificent,britain,bb,,,,,,
294,,Majestic,britain,bb,,,,,,
295,,Prince George,britain,bb,,,,,,
296,,Victorious,britain,bb,,,,,,
297,,Jupiter,britain,bb,,,,,,
298,,Mars,britain,bb,,,,,,
299,,Hannibal,britain,bb,,,,,,
300,,Caesar,britain,bb,,,,,,
301,,Illustrious,britain,bb,,,,,,
302,,Canopus,britain,bb,,,,,,
303,,Goliath,britain,bb,,,,,,
304,,Albion,britain,bb,,,,,,
305,,Ocean,britain,bb,,,,,,
306,,Glory,britain,bb,,,,,,
307,,Vengeance,britain,bb,,,,,,
308,,Formidable,britain,bb,,,,,,
309,,Irresistible,britain,bb,,,,,,
310,,Implacable,britain,bb,,,,,,
311,,London,britain,bb,,,,,,
312,,Bulwark,britain,bb,,,,,,
313,,Venerable,britain,bb,,,,,,
314,,Queen,britain,bb,,,,,,
315,,Prince of Wales,britain,bb,,,,,,
316,,Russell,britain,bb,,,,,,
317,,Albemarle,britain,bb,,,,,,
318,,Montagu,britain,bb,,,,,,
319,,Duncan,britain,bb,,,,,,
320,,Cornwallis,britain,bb,,,,,,
321,,Exmouth,britain,bb,,,,,,
322,,King Edward VII,britain,bb,,,,,,
323,,Commonwealth,britain,bb,,,,,,
324,,Dominion,britain,bb,,,,,,
325,,Hindustan,britain,bb,,,,,,
326,,New Zealand,britain,bb,,,,,,
327,,Zealandia,britain,bb,,,,,,
328,,Britannia,britain,bb,,,,,,
329,,Africa,britain,bb,,,,,,
330,,Hibernia,britain,bb,,,,,,
331,,Swiftsure,britain,bb,,,,,,
332,,Triumph,britain,bb,,,,,,
333,,Lord Nelson,britain,bb,,,,,,
334,,Agamemnon,britain,bb,,,,,,
335,,Dreadnought,britain,bb,,,,,,
336,,Bellerophon,britain,bb,,,,,,
337,,Superb,britain,bb,,,,,,
338,,Temeraire,britain,bb,,,,,,
339,,St. Vincent,britain,bb,,,,,,
340,,Collingwood,britain,bb,,,,,,
341,,Vanguard,britain,bb,,,,,,
342,,Neptune,britain,bb,,,,,,
343,,Colossus,britain,bb,,,,,,
344,,Hercules,britain,bb,,,,,,
345,,Orion,britain,bb,,,,,,
346,,Monarch,britain,bb,,,,,,
347,,Conqueror,britain,bb,,,,,,
348,,Thunderer,britain,bb,,,,,,
349,,King George V,britain,bb,,,,,,
350,,Audacious,britain,bb,,,,,,
351,,Ajax,britain,bb,,,,,,
352,,Iron Duke,britain,bb,,,,,,
353,,Marlborough,britain,bb,,,,,,
354,,Benbow,britain,bb,,,,,,
355,,Emperor of India,britain,bb,,,,,,
356,,Agincourt,britain,bb,,,,,,
357,,Erin,britain,bb,,,,,,
358,,Canada,britain,bb,,,,,,
359,,Eagle,britain,bb,,,,,,
360,,Queen Elizabeth,britain,bb,,,,,,
361,,Warspite,britain,bb,,,,,,
362,,Barham,britain,bb,,,,,,
363,,Valiant,britain,bb,,,,,,
364,,Malaya,britain,bb,,,,,,
365,,Nelson,britain,bb,,,,,,
366,,Rodney,britain,bb,,,,,,
367,,Duke of York,britain,bb,,,,,,
368,,Anson,britain,bb,,,,,,
369,,Howe,britain,bb,,,,,,
370,,Lion,britain,bb,,,,,,
371,,Invincible,britain,bc,,,,,,
372,,Inflexible,britain,bc,,,,,,
373,,Indomitable,britain,bc,,,,,,
374,,Indefatigable,britain,bc,,,,,,
375,,New Zealand,britain,bc,,,,,,
376,,Lion,britain,bc,,,,,,
377,,Princess Royal,britain,bc,,,,,,
378,,Queen Mary,britain,bc,,,,,,
379,,Tiger,britain,bc,,,,,,
380,,Renown,britain,bc,,,,,,
381,,Repulse,britain,bc,,,,,,
382,,Courageous,britain,bc,,,,,,
383,,Glorious,britain,bc,,,,,,
384,,Furious,britain,bc,,,,,,
385,,Incomparable,britain,bc,,,,,,
386,,Hood,britain,bc,,,,,,
387,,Anson,britain,bc,,,,,,
388,,Howe,britain,bc,,,,,,
389,,Rodney,britain,bc,,,,,,
390,,Warrior,britain,bc,,,,,,
391,,Black Prince,britain,bc,,,,,,
392,,Defence,britain,bc,,,,,,
393,,Resistance,britain,bc,,,,,,
394,,Hector,britain,bc,,,,,,
395,,Valiant,britain,bc,,,,,,
396,,Achilles,britain,bc,,,,,,
397,,Minotaur,britain,bc,,,,,,
398,,Agincourt,britain,bc,,,,,,
399,,Northumberland,britain,bc,,,,,,
400,,Prince Consort,britain,bc,,,,,,
401,,Caledonia,britain,bc,,,,,,
402,,Ocean,britain,bc,,,,,,
403,,Royal Oak,britain,bc,,,,,,
404,,Royal Alfred,britain,bc,,,,,,
405,,Enterprise,britain,bc,,,,,,
406,,Favorite,britain,bc,,,,,,
407,,Zealous,britain,bc,,,,,,
408,,Lord Clyde,britain,bc,,,,,,
409,,Lord Warden,britain,bc,,,,,,
410,,Pallas,britain,bc,,,,,,
411,,Bellerophon,britain,bc,,,,,,
412,,Penelope,britain,bc,,,,,,
413,,Hercules,britain,bc,,,,,,
414,,Monarch,britain,bc,,,,,,
415,,Audacious,britain,bc,,,,,,
416,,Devastation,britain,bc,,,,,,
417,,Thunderer,britain,bc,,,,,,
418,,Superb,britain,bc,,,,,,
419,,Trafalgar,britain,bc,,,,,,
420,,Colossus,britain,bc,,,,,,
421,,Shannon,britain,ca,,,,,,
422,,Nelson,britain,ca,,,,,,
423,,Imperieuse,britain,ca,,,,,,
424,,Warspite,britain,ca,,,,,,
425,,Orlando,britain,ca,,,,,,
426,,Australia,britain,ca,,,,,,
427,,Undaunted,britain,ca,,,,,,
428,,Narcissus,britain,ca,,,,,,
429,,Galatea,britain,ca,,,,,,
430,,Immortalite,britain,ca,,,,,,
431,,Aurora,britain,ca,,,,,,
432,,Blake,britain,ca,,,,,,
433,,Blenheim,britain,ca,,,,,,
434,,Edgar,britain,ca,,,,,,
435,,Hawke,britain,ca,,,,,,
436,,Endymion,britain,ca,,,,,,
437,,Royal Arthur,britain,ca,,,,,,
438,,Gibraltar,britain,ca,,,,,,
439,,Grafton,britain,ca,,,,,,
440,,St George,britain,ca,,,,,,
441,,Theseus,britain,ca,,,,,,
442,,Crescent,britain,ca,,,,,,
443,,Powerful,britain,ca,,,,,,
444,,Terrible,britain,ca,,,,,,
445,,Diadem,britain,ca,,,,,,
446,,Niobe,britain,ca,,,,,,
447,,Europa,britain,ca,,,,,,
448,,Andromeda,britain,ca,,,,,,
449,,Amphitrite,britain,ca,,,,,,
450,,Argonaut,britain,ca,,,,,,
451,,Ariadne,britain,ca,,,,,,
452,,Spartiate,britain,ca,,,,,,
453,,Cressy,britain,ca,,,,,,
454,,Sutlej,britain,ca,,,,,,
455,,Aboukir,britain,ca,,,,,,
456,,Hogue,britain,ca,,,,,,
457,,Bacchante,britain,ca,,,,,,
458,,Euryalus,britain,ca,,,,,,
459,,Drake,britain,ca,,,,,,
460,,Good Hope,britain,ca,,,,,,
461,,King Alfred,britain,ca,,,,,,
462,,Leviathan,britain,ca,,,,,,
463,,Monmouth,britain,ca,,,,,,
464,,Bedford,britain,ca,,,,,,
465,,Essex,britain,ca,,,,,,
466,,Kent,britain,ca,,,,,,
467,,Berwick,britain,ca,,,,,,
468,,Cornwall,britain,ca,,,,,,
469,,Cumberland,britain,ca,,,,,,
470,,Donegal,britain,ca,,,,,,
471,,Lancaster,britain,ca,,,,,,
472,,Suffolk,britain,ca,,,,,,
473,,Devonshire,britain,ca,,,,,,
474,,Hampshire,britain,ca,,,,,,
475,,Carnarvon,britain,ca,,,,,,
476,,Antrim,britain,ca,,,,,,
477,,Roxburgh,britain,ca,,,,,,
478,,Argyll,britain,ca,,,,,,
479,,Duke of Edinburgh,britain,ca,,,,,,
480,,Black Prince,britain,ca,,,,,,
481,,Warrior,britain,ca,,,,,,
482,,Cochrane,britain,ca,,,,,,
483,,Achilles,britain,ca,,,,,,
484,,Natal,britain,ca,,,,,,
485,,Minotaur,britain,ca,,,,,,
486,,Iris,britain,cl,,,,,,
487,,Mercury,britain,cl,,,,,,
488,,Comus,britain,cl,,,,,,
489,,Curacoa,britain,cl,,,,,,
490,,Champion,britain,cl,,,,,,
491,,Cleopatra,britain,cl,,,,,,
492,,Carysfort,britain,cl,,,,,,
493,,Conquest,britain,cl,,,,,,
494,,Constance,britain,cl,,,,,,
495,,Canada,britain,cl,,,,,,
496,,Cordelia,britain,cl,,,,,,
497,,Leander,britain,cl,,,,,,
498,,Arethusa,britain,cl,,,,,,
499,,Phaeton,britain,cl,,,,,,
500,,Amphion,britain,cl,,,,,,
501,,Calypso,britain,cl,,,,,,
502,,Calliope,britain,cl,,,,,,
503,,Surprise,britain,cl,,,,,,
504,,Alacrity,britain,cl,,,,,,
505,,Mersey,britain,cl,,,,,,
506,,Severn,britain,cl,,,,,,
507,,Thames,britain,cl,,,,,,
508,,Forth,britain,cl,,,,,,
509,,Scout,britain,cl,,,,,,
510,,Fearless,britain,cl,,,,,,
511,,Archer,britain,cl,,,,,,
512,,Mohawk,britain,cl,,,,,,
513,,Brisk,britain,cl,,,,,,
514,,Porpoise,britain,cl,,,,,,
515,,Cossack,britain,cl,,,,,,
516,,Tartar,britain,cl,,,,,,
517,,Serpent,britain,cl,,,,,,
518,,Racoon,britain,cl,,,,,,
519,,Marathon,britain,cl,,,,,,
520,,Magicienne,britain,cl,,,,,,
521,,Medea,britain,cl,,,,,,
522,,Medusa,britain,cl,,,,,,
523,,Melpomene,britain,cl,,,,,,
524,,Barracouta,britain,cl,,,,,,
525,,Barrosa,britain,cl,,,,,,
526,,Blanche,britain,cl,,,,,,
527,,Blonde,britain,cl,,,,,,
528,,Barham,britain,cl,,,,,,
529,,Bellona,britain,cl,,,,,,
530,,Pandora,britain,cl,,,,,,
531,,Psyche,britain,cl,,,,,,
532,,Phoenix,britain,cl,,,,,,
533,,Pelorus,britain,cl,,,,,,
534,,Persian,britain,cl,,,,,,
535,,Pallas,britain,cl,,,,,,
536,,Phoebe,britain,cl,,,,,,
537,,Pearl,britain,cl,,,,,,
538,,Philomel,britain,cl,,,,,,
539,,Apollo,britain,cl,,,,,,
