#id,caliber in inches,ladder aiming progress growth upto one from double-shot salvo,target-locked aim progress,during aiming minimal delay between salvos,time to acquire target (estimation),visual shell+trail size modifier,visual size modifier: shot (fire+exhaust) from barrel,visual size modifier: water splash on hit water,small delay between shooting of different guns,TODO,TODO," chance to hit at max range (K=0.005 - very poor, K=0.05 - very good) (will scale inside expontentially, see below)","expontentinal modifier for accuracy (formula is: accuracy_base=K^(x^b), x is in [0;1] for mix/max range);",hit chance simple final multiplier,damage modifier (multiplier),air resistance,internal physics drag,basic turret weight,amount of shells per barrel,barrel's weight (used for cost too),,,,,gun's firerate (shots per minute),,,,,shell weight's (for arc),,,,,shell's velocity (for arc),,,,,max fire range (in km),,,,,,accuracy modifier,,,,,penetration modifier (multiplier),,,,,,,,,,,,,
@name,caliberInch,aimProgress,lockedProgress,aimSalvoDelay,#timeToAcquireTarget,shellSize,shotSize,splashSize,shootDelay,shootDelayMin,shootDelayMax,hitChanceMaxRange,hitChanceCurver,hitChanceMult,damageMod,dragX,#drag,baseWeight,ammo,barrelW_1,barrelW_2,barrelW_3,barrelW_4,barrelW_5,firerate_1,firerate_2,firerate_3,firerate_4,firerate_5,shellW_1,shellW_2,shellW_3,shellW_4,shellW_5,shellV_1,shellV_2,shellV_3,shellV_4,shellV_5,range_1,range_2,range_3,range_4,range_5,#rangeOriginal,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,penetration_1,penetration_2,penetration_3,penetration_4,penetration_5,#Target Initial Ranges,#Drag,#Test Drag 1,#Accuracy Old,#Accuracy New,#Accuracy Old,#Accuracy New,#Accuracy Old,#Accuracy New
10,10,0.045,33,9,200,0.7,2.6,1.8,0.45,0.22,5,0.00005,1,0.15,3.515,18,18,64.8,130,14.2,14.555,14.918875,15.29184688,15.67414305,1.6,2.1,2.6,3,4,207.2,214.452,221.95782,229.7263437,237.7667657,715,739,786,820,835,"11,000","12,000","14,000","16,000","18,000","20,000",0.63,0.66,0.69,0.72,0.75,1.016,1.079,1.14,1.2,1.27,9450,12,30,2.268,0.9072,0.384,0.5184,4.134,5.7876
11,11,0.05625,36.3,11,195,0.75,3.3,2.2,0.475,0.275,5,0.00005,1,0.15,4.714,17,20.57,80.2,120,17.6,18.04,18.491,18.953275,19.42710688,1.4,1.92,2.3,2.7,3.5,277.6,287.316,297.37206,307.7800821,318.552385,705,729,776,810,825,"12,100","13,200","15,400","17,600","19,800","22,000",0.63,0.66,0.69,0.72,0.75,0.94,0.999,1.058,1.117,1.176,10150,12.5,31.25,2.322,0.9288,0.396,0.5346,3.978,5.5692
12,12,0.0703125,39.93,13,184,0.8,4,2.5,0.5,0.3,5,0.00005,1,0.15,6.289,16,23.04,99.7,110,21.9,22.4475,23.0086875,23.58390469,24.1735023,1,1.86,2.17,2.4,3.2,388,401.58,415.6353,430.1825355,445.2389242,696,730,767,801,816,"13,200","14,400","16,800","19,200","21,600","24,000",0.63,0.66,0.69,0.72,0.75,0.88,0.935,0.99,1.045,1.1,11550,14.992215,37.4805375,2.376,0.9504,0.408,0.5508,3.822,5.3508
13,13,0.116015625,43.923,14,120,0.85,4.75,2.8,0.525,0.33,5,0.00005,1,0.15,7.886,15,25.35,121.8,110,26.7,27.3675,28.0516875,28.75297969,29.47180418,0.55,1.78,1.96,2.2,2.75,504,521.64,539.8974,558.793809,578.3515923,691,725,762,796,811,"14,300","15,600","18,200","20,800","23,400","26,000",0.63,0.66,0.69,0.72,0.75,0.816,0.867,0.918,0.969,1.02,12250,13.992734,34.981835,2.43,0.972,0.3552,0.47952,3.666,5.1324
14,14,0.2146289063,48.3153,15,69,0.9,5.55,3.1,0.55,0.36,5,0.00005,1,0.15,9.908,3,5.88,146.6,110,32.2,33.005,33.830125,34.67587813,35.54277508,1.7,1.75,1.86,2.1,2.5,600,621,642.735,665.230725,688.5138004,688,722,759,793,808,"15,400","16,800","19,600","22,400","25,200","28,000",0.63,0.66,0.69,0.72,0.75,0.76,0.807,0.855,0.9,0.95,13125,11.993772,29.98443,2.484,0.9936,0.3552,0.47952,3.51,4.914
15,15,0.3219433594,60.394125,16,49,0.95,6.35,3.4,0.575,0.39,5,0.00005,1,0.15,12.253,1.5,3.37,174.2,110,38.3,39.2575,40.2389375,41.24491094,42.27603371,1.63,1.73,1.83,2.0,2.3,736,761.76,788.4216,816.016356,844.5769285,685,719,756,790,805,"16,500","18,000","21,000","24,000","27,000","30,000",0.63,0.66,0.69,0.72,0.75,0.72,0.765,0.81,0.855,0.9,14000,8.995329,22.4883225,2.538,1.0152,0.3552,0.47952,3.354,4.6956
16,16,0.4829150391,75.49265625,17,35,1,7.25,3.75,0.6,0.42,5,0.00005,1,0.15,14.948,1,2.56,201.8,110,45,46.125,47.278125,48.46007813,49.67158008,1.55,1.67,1.72,1.95,2.1,880,910.8,942.678,975.67173,1009.820241,681,715,751,785,801,"17,600","19,200","22,400","25,600","28,800","32,000",0.63,0.66,0.69,0.72,0.75,0.68,0.722,0.765,0.807,0.85,15050,7.4961075,18.74026875,2.592,1.0368,0.3552,0.47952,3.198,4.4772
17,17,0.7243725586,94.36582031,18,24,1.05,8.25,4.1,0.625,0.5,5,0.00005,1,0.15,18.017,0.75,2.16,227.8,110,52.4,53.71,55.05275,56.42906875,57.83979547,1.4,1.58,1.69,1.85,1.90,1012,1047.42,1084.0797,1122.02249,1161.293277,676,710,746,780,796,"18,700","20,400","23,800","27,200","30,600","34,000",0.63,0.66,0.69,0.72,0.75,0.64,0.68,0.72,0.76,0.8,16100,5.996886,14.992215,2.7,1.08,0.3552,0.47952,3.042,4.2588
18,18,0.8692470703,117.9572754,20,23,1.1,9.3,4.45,0.65,0.6,5,0.00005,1,0.15,21.485,0.25,0.81,250.8,110,61.3,62.8325,64.4033125,66.01339531,67.6637302,1.3,1.5,1.62,1.81,1.86,1200,1242,1285.47,1330.46145,1377.027601,671,705,741,776,791,"19,800","21,600","25,200","28,800","32,400","36,000",0.63,0.66,0.69,0.72,0.75,0.617,0.656,0.694,0.733,0.772,17150,3.4981835,8.74545875,2.808,1.1232,0.3552,0.47952,2.886,4.0404
19,19,1.043096484,147.4465942,22,21,1.15,10,4.75,0.675,0.7,5,0.00005,1,0.15,25.378,0.05,0.18,301.6,100,76.1,78.0025,79.9525625,81.95137656,84.00016098,1.24,1.4,1.56,1.65,1.72,1400,1449,1499.715,1552.205025,1606.532201,666,700,736,770,785,"20,900","22,800","26,600","30,400","34,200","38,000",0.63,0.66,0.69,0.72,0.75,0.588,0.624,0.661,0.698,0.735,17150,2.125,5.3125,3,1.2,0.3552,0.47952,2.73,3.822
20,20,1.251715781,184.3082428,24,19,1.2,11,5,0.7,0.8,5,0.00005,1,0.15,29.721,0.05,0.2,378.5,100,102.3,104.8575,107.4789375,110.1659109,112.9200587,1.12,1.19,1.25,1.4,1.51,1560,1614.6,1671.111,1729.599885,1790.135881,661,695,731,765,780,"22,000","24,000","28,000","32,000","36,000","40,000",0.63,0.66,0.69,0.72,0.75,0.56,0.59,0.63,0.665,0.7,17150,1.275,3.1875,3.3,1.32,0.3552,0.47952,2.574,3.6036
21,21,1.502058938,230.3853035,26,17,1.3,12,5.25,0.75,0.84,5,0.00005,1,0.15,34.541,0.05,0.22,475.3,100,116.2,119.105,122.082625,125.1346906,128.2630579,1.02,1.1,1.16,1.24,1.37,1720,1780.2,1842.507,1906.994745,1973.739561,648,654,689,725,759,"23,100","25,200","29,400","33,600","37,800","42,000",0.63,0.66,0.69,0.72,0.75,0.56,0.59,0.63,0.665,0.7,17150,1.1,2.75,3.6,1.44,0.3552,0.47952,2.574,3.6036
#,,,,,,,,,,,,,,,,,,temp_modifiers,,weight modifiers,,,,tert,1.25,1.45,1.65,1.8,1.95,Shell Weight Modifier,,,,,Shell Speed Modifier,,,,,range modifiers,,,,,,,,,,,penetration,,,,,,,,3.9,1.56,,,,
#,,,,,,,,,,,,,,,,,,0.016,,1,,,,sec,1.05,1.4,1.6,1.85,2,1.035,,,,,1.01,1.025,1.05,1.1,1.125,0.55,0.6,0.7,0.8,0.9,base,,,,,,,1.08,1.1,1.12,1.15,,,,,,,,,
#,,,,,,,,,,,,,,,,,,0.1,,0.22,,,,main,1.05,1.4,1.65,1.9,2,,,,,,,,,,,0.45,0.5,0.55,0.75,1,old,,,,,,,,,,,,,,,Old Shell Velocities,,,,
#,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.35,812.7,848.61,926.1,982.8,
#,,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.9,803.25,838.215,893.025,945,
#,,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.45,793.8,827.82,878.85,916.65,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,784.35,818.37,864.675,907.2,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.55,774.9,807.975,859.95,902.475,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.1,765.45,800.415,855.225,897.75,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.65,763.56,797.58,850.5,893.025,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718.2,760.725,794.745,845.775,888.3,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.75,758.835,791.91,841.05,883.575,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.3,748.44,789.075,834.435,878.85,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.85,738.045,784.35,830.655,872.235,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.125,719.145,755.055,792.855,832.545,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,714.42,750.33,788.13,827.82,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,709.695,745.605,782.46,821.205,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,704.97,739.935,776.79,815.535,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,694.575,729.54,766.395,805.14,
#,,"formula for hit chance info:
* K - chance to hit at max range, very important, set values like from 0.005 to 0.03
* x - range ratio, 0 is point blank, 1 is max firing distance
* new formula: chance = K^(x^b)*C
* from: http://navweaps.com/index_inro/INRO_Hood_p4.htm
* old formula: chance = K + (1-K) * ( 1 - x^a )
* a=0.3, b=1 - affecting constant
* K=0.005 - very poor, K=0.05 - very good
* C=1 - constant multiplier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665,685.125,719.145,755.055,792.855,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,650,690,715,730,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655,640,680,705,720,
#,,graph:,,https://www.desmos.com/calculator/effnz2qzri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,14.85,15.75,16.65,17.55,12.15,13.365,14.175,14.985,15.795,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25,12.15,13.05,13.95,14.85,10.125,10.935,11.745,12.555,13.365,,,
#,,accuracy calculation (percent):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,8.06,8.69,9.32,9.95,6.12,7.254,7.821,8.388,8.955,,,
#,,0,,5,10,15,20,25,30,35,40,45,50,55,60,65,,70,75,,80,85,90,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78,4.41,5.04,5.67,6.3,3.402,3.969,4.536,5.103,5.67,,,
#,1,1135.955,,100,66.2,37.37,23.26,15.39,10.64,7.59,5.56,4.16,3.16,2.44,1.9,1.5,,1.2,0.96,,0.78,0.64,0.52,0.43,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.15,3.78,4.41,5.04,3.08,3.465,4.158,4.851,5.544,,,
#,2,1262.172,,100,73.56,41.52,25.84,17.11,11.82,8.44,6.18,4.62,3.51,2.71,2.12,1.67,,1.33,1.07,,0.87,0.71,0.58,0.48,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3.15,3.78,4.41,5.04,3.08,3.465,4.158,4.851,5.544,,,
#,3,1402.413,,68.97,31.96,18.66,12.17,8.48,6.19,4.67,3.62,2.86,2.3,1.88,1.55,1.29,,1.09,0.92,,0.79,0.68,0.58,0.51,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.52,2.835,3.15,3.465,2.64,2.772,3.1185,3.465,3.8115,,,
#,4,1558.237,,54.14,25.51,15.22,10.15,7.23,5.39,4.16,3.28,2.65,2.17,1.8,1.51,1.28,,1.1,0.95,,0.82,0.72,0.63,0.56,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,2.079,2.457,2.709,2.961,2.0585,2.39085,2.82555,3.11535,3.40515,,,
#,5,1731.375,,47.91,22.92,13.9,9.42,6.81,5.15,4.02,3.22,2.63,2.18,1.83,1.56,1.33,,1.15,1,,0.88,0.78,0.69,0.61,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.89,2.205,2.52,2.772,1.84,2.1735,2.53575,2.898,3.1878,,,
#,6,1923.75,,53.24,25.46,15.45,10.46,7.57,5.73,4.47,3.58,2.92,2.42,2.03,1.73,1.48,,1.28,1.12,,0.98,0.86,0.77,0.68,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,1.275,1.485,1.845,2.07,2.295,1.46625,1.70775,2.12175,2.3805,2.63925,,,
#,7,1923.75,,49.18,23.66,14.44,9.84,7.16,5.44,4.27,3.43,2.81,2.34,1.97,1.68,1.45,,1.26,1.1,,0.97,0.86,0.76,0.68,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,1.063125,1.4175,1.771875,1.935,2.025,1.22259375,1.630125,2.03765625,2.22525,2.32875,,,
#,8,1923.75,,45.36,21.97,13.49,9.24,6.76,5.16,4.07,3.29,2.71,2.26,1.92,1.64,1.42,,1.23,1.08,,0.96,0.85,0.76,0.68,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83916,1.251,1.53,1.71,1.89,0.965034,1.43865,1.7595,1.9665,2.1735,,,
#,9,390,,55.83,25.96,14.52,8.93,5.83,3.97,2.79,2.01,1.48,1.11,0.84,0.65,0.5,,0.4,0.31,,0.25,0.2,0.16,0.13,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,0.693,0.9702,1.2474,1.44,1.62,0.79695,1.11573,1.43451,1.656,1.863,,,
#,10,366.581,,65.15,30.87,17.3,10.59,6.85,4.62,3.21,2.28,1.66,1.22,0.91,0.69,0.53,,0.41,0.32,,0.25,0.2,0.16,0.12,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61803,0.89271,1.16739,1.35,1.53,0.7107345,1.0266165,1.3424985,1.5525,1.7595,,,
#,11,366.581,,70.71,33.8,18.98,11.6,7.49,5.03,3.48,2.46,1.78,1.3,0.97,0.73,0.56,,0.43,0.33,,0.26,0.2,0.16,0.13,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.598752,0.857304,1.08864,1.26,1.4175,0.6885648,0.9858996,1.251936,1.449,1.630125,,,
#,12,366.581,,76.44,36.88,20.76,12.68,8.16,5.46,3.76,2.65,1.9,1.39,1.03,0.77,0.58,,0.44,0.34,,0.26,0.21,0.16,0.13,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.571536,0.843696,0.95256,1.08,1.27575,0.6572664,0.9702504,1.095444,1.242,1.4671125,,,
#,13,373.912,,82.19,39.95,22.55,13.77,8.86,5.92,4.07,2.86,2.05,1.49,1.1,0.82,0.62,,0.47,0.36,,0.28,0.21,0.17,0.13,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54432,0.81648,0.88452,0.99,1.134,0.625968,0.938952,1.017198,1.1385,1.3041,,,
#,14,314.212,,52.44,24.73,13.87,8.5,5.52,3.74,2.61,1.87,1.36,1.01,0.76,0.58,0.44,,0.35,0.27,,0.21,0.17,0.13,0.11,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,0.530712,0.789264,0.843696,0.9,0.99225,0.6103188,0.9076536,0.9702504,1.035,1.1410875,,,
#,15,282.791,,41.09,19.17,10.75,6.62,4.33,2.95,2.08,1.5,1.1,0.83,0.63,0.48,0.37,,0.29,0.23,,0.18,0.15,0.12,0.1,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,16,254.512,,32.1,14.86,8.34,5.16,3.4,2.33,1.66,1.21,0.9,0.68,0.52,0.4,0.32,,0.25,0.2,,0.16,0.13,0.11,0.09,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,17,229.06,,26.9,12.41,6.97,4.33,2.86,1.97,1.41,1.03,0.77,0.58,0.45,0.35,0.28,,0.22,0.18,,0.14,0.12,0.09,0.08,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,18,206.154,,24.92,11.51,6.47,4.01,2.64,1.82,1.3,0.95,0.71,0.53,0.41,0.32,0.25,,0.2,0.16,,0.13,0.1,0.08,0.07,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,19,185.539,,23.09,10.68,6,3.72,2.45,1.68,1.2,0.87,0.65,0.49,0.38,0.29,0.23,,0.18,0.14,,0.12,0.09,0.08,0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,20,166.985,,21.99,10.21,5.73,3.54,2.33,1.6,1.13,0.82,0.61,0.46,0.35,0.27,0.21,,0.17,0.13,,0.11,0.09,0.07,0.06,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,21,150.286,,20.93,9.75,5.48,3.38,2.22,1.52,1.07,0.77,0.57,0.43,0.33,0.25,0.2,,0.15,0.12,,0.1,0.08,0.06,0.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,28.1995,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,0,,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,6000,7000,8000,,9000,10000,,11000,12000,13000,14000,15000,17000,20000,23000,26000,29000,32000,35000,38000,41000,44000,47000,50000,53000,,,,,,,,,,,,,,,,,,,,,,22.5,25.8975,,,
#,1,100,,41.569,12.309,4.954,2.329,1.207,0.67,0.392,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20,23.02,,,
#,2,100,,56.82,18.157,7.736,3.813,2.06,1.187,0.718,0.451,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,20,23.02,,,
#,3,100,,31.572,11.985,6.087,3.553,2.256,1.517,1.065,0.772,0.574,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,17.5,20.1425,,,
#,4,100,,30.213,12.491,6.816,4.237,2.848,2.018,1.487,1.128,0.876,0.693,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,16,18.416,,,
#,5,100,,31.314,13.724,7.846,5.076,3.535,2.587,1.962,1.53,1.219,0.989,0.679,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,14,16.114,,,
#,6,100,,39.445,17.739,10.321,6.769,4.767,3.523,2.696,2.118,1.7,1.388,0.964,0.698,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,13,14.963,,,
#,7,100,,40.683,18.849,11.213,7.49,5.36,4.017,3.114,2.476,2.009,1.657,1.172,0.864,0.656,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.85,4.43135,,,
#,8,100,,41.295,19.641,11.916,8.09,5.871,4.456,3.493,2.807,2.3,1.914,1.377,1.03,0.793,,0.625,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,3.6,4.1436,,,
