,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#id (do not edit),enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#
gun_6_x1,,152,gun_6_x1,,,dd_s_gun_c_102_x1,1.3,1.5,1.1,1.33,dd_s_gun_c_102_x1,1.3,1.5,1.1,1.33,dd_s_gun_b_102_x1,1.575,1.725,1.1,0.98,iowa_gun_b_127_x1,1.35,1.51125,1.18,,iowa_gun_b_127_x1,1.366875,1.530140625,1.2,,,,,,,,,,,
gun_6_x2,,152,gun_6_x2,,,tsesarevich_gun_152_x2,1,1.09,1.25,1.25,dreadnought_gun_178_x2,1.15,1.21,1.22,1.09,dreadnought_gun_178_x2,1.15,1.21,1.22,1.09,iowa_gun_b_127_x2,1.35,1.51125,1.18,,iowa_gun_b_127_x2,1.366875,1.530140625,1.2,,,,,,,,,,,
gun_6_x3,,152,gun_6_x3,,,tsesarevich_gun_152_x3,1,1.09,1.25,1.25,dreadnought_gun_178_x3,1.15,1.21,1.22,1.09,dreadnought_gun_178_x3,1.15,1.21,1.22,1.09,iowa_gun_b_127_x3,1.35,1.51125,1.18,,iowa_gun_b_127_x3,1.366875,1.530140625,1.2,,,,,,,,,,,
gun_7_x1,,178,gun_7_x1,,,tsesarevich_gun_152_x1,1.1,1.19,1.25,1.32,agamemnon_gun_228_x1,1,1.04,1.15,1.281,warrior_gun_228_x1,0.975,0.999375,1.15,1.092,iowa_gun_b_127_x1,1.55,1.70625,1.18,,litt_gun_152_x1,1.1,1.195,1.29,1.375,,,,,,,,,,
gun_7_x2,,178,gun_7_x2,,,tsesarevich_gun_152_x2,1.1,1.19,1.25,1.32,agamemnon_gun_228_x2,1,1.04,1.15,1.281,warrior_gun_228_x2,0.975,0.999375,1.15,1.092,iowa_gun_b_127_x2,1.55,1.70625,1.18,,litt_gun_152_x2,1.1,1.195,1.29,1.375,,,,,,,,,,
gun_7_x3,,178,gun_7_x3,,,tsesarevich_gun_152_x3,1.1,1.19,1.25,1.32,agamemnon_gun_228_x3,1,1.04,1.15,1.281,warrior_gun_228_x3,0.975,0.999375,1.15,1.092,iowa_gun_b_127_x3,1.55,1.70625,1.18,,litt_gun_152_x3,1.1,1.195,1.29,1.375,,,,,,,,,,
gun_8_x1,,203,gun_8_x1,,,bouvet_gun_138_x1,1.42,1.57,1.38,1.26,agamemnon_gun_228_x1,1.05,1.085,1.15,1.351,warrior_gun_228_x1,1.025,1.095,1.15,1.174,iowa_gun_b_127_x1,1.75,1.95,1.18,,pola_gun_203_x1,1.075,1.175,1.25,,,,,,,,,,,
gun_8_x2,,203,gun_8_x2,,,bouvet_gun_138_x2,1.42,1.57,1.38,1.24,agamemnon_gun_228_x2,1.05,1.085,1.15,1.351,warrior_gun_228_x2,1.025,1.095,1.15,1.174,iowa_gun_b_127_x2,1.75,1.95,1.18,,pola_gun_203_x2,1.075,1.175,1.25,,,,,,,,,,,
gun_8_x3,,203,gun_8_x3,,,bouvet_gun_138_x3,1.42,1.57,1.38,1.24,agamemnon_gun_228_x3,1.05,1.085,1.15,1.351,warrior_gun_228_x3,1.025,1.095,1.15,1.174,iowa_gun_b_127_x3,1.75,1.95,1.18,,pola_gun_203_x3,1.075,1.175,1.25,,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_9_x1,,229,gun_9_x1,,,friedrich_gun_228_x1,1,1.0725,1.25,1.37,agamemnon_gun_228_x1,1.1,1.195,1.05,1.428,warrior_gun_228_x1,1.1,1.194375,1,1.176,agamemnon_gun_228_x1,1.1,1.195,1.2,1.42,agamemnon_gun_228_x1,1.1,1.195,1.2,1.42,,,,,,,,,,
gun_9_x2,,229,gun_9_x2,,,friedrich_gun_228_x2,1,1.0725,1.25,1.37,agamemnon_gun_228_x2,1.1,1.195,1.05,1.428,warrior_gun_228_x2,1.1,1.194375,1,1.176,agamemnon_gun_228_x2,1.1,1.195,1.2,1.42,agamemnon_gun_228_x2,1.1,1.195,1.2,1.42,,,,,,,,,,
gun_9_x3,,229,gun_9_x3,,,friedrich_gun_228_x3,1,1.0725,1.25,1.37,agamemnon_gun_228_x3,1.1,1.195,1.05,1.428,warrior_gun_228_x3,1.1,1.194375,1,1.176,agamemnon_gun_228_x3,1.1,1.195,1.2,1.42,agamemnon_gun_228_x3,1.1,1.195,1.2,1.42,,,,,,,,,,
gun_10_x1,,254,gun_10_x1,,,brandenburg_gun_279_x1,0.909,0.99,1.75,1.1,agamemnon_gun_305_x1,0.9,0.975,1.2,1.45,warrior_gun_228_x1,1.225,1.33,1,1.145,dreadnought_gun_b_305_x1,0.955,1.02375,1.14,,pola_gun_203_x1,1.3,1.41375,1.25,,,,,,,,,,,
gun_10_x2,,254,gun_10_x2,,,brandenburg_gun_279_x2,0.909,0.99,1.75,1.1,agamemnon_gun_305_x2,0.9,0.975,1.2,1.45,warrior_gun_228_x2,1.225,1.33,1,1.145,dreadnought_gun_b_305_x2,0.955,1.02375,1.14,,pola_gun_203_x2,1.3,1.41375,1.25,,,,,,,,,,,
gun_10_x3,,254,gun_10_x3,,,brandenburg_gun_279_x3,0.909,0.99,1.75,1.1,agamemnon_gun_305_x3,0.9,0.975,1.2,1.45,warrior_gun_228_x3,1.225,1.33,1,1.145,dreadnought_gun_b_305_x3,0.955,1.02375,1.14,,pola_gun_203_x3,1.3,1.41375,1.25,,,,,,,,,,,
gun_11_x1,,279,gun_11_x1,,,brandenburg_gun_279_x1,1,1.095,1.75,0.85,agamemnon_gun_305_x1,1,1.0725,1.2,1.15,dreadnought_gun_305_x1,1.025,1.096875,1.14,1.125,dreadnought_gun_b_305_x1,1.05,1.12125,1.14,0.85,pola_gun_203_x1,1.45,1.56,1.25,0.85,,,,,,,,,,
gun_11_x2,,279,gun_11_x2,,,brandenburg_gun_279_x2,1,1.095,1.75,0.85,agamemnon_gun_305_x2,1,1.0725,1.2,1.15,dreadnought_gun_305_x2,1.025,1.096875,1.14,1.125,dreadnought_gun_b_305_x2,1.05,1.12125,1.14,0.85,pola_gun_203_x2,1.45,1.56,1.25,0.85,,,,,,,,,,
gun_11_x3,,279,gun_11_x3,,,brandenburg_gun_279_x3,1,1.095,1.75,0.85,agamemnon_gun_305_x3,1,1.0725,1.2,1.15,dreadnought_gun_305_x3,1.025,1.096875,1.14,1.125,dreadnought_gun_b_305_x3,1.05,1.12125,1.14,0.85,pola_gun_203_x3,1.45,1.56,1.25,0.85,,,,,,,,,,
gun_12_x1,,305,gun_12_x1,,,tsesarevich_gun_305_x1,1,1.09,1.5,,irresistible_gun_305_x1,1.1,1.17,1.1,1.022,dreadnought_gun_305_x1,1.125,1.194375,1.14,1.097,dreadnought_gun_b_305_x1,1.15,1.21875,1.14,0.85,pola_gun_203_x1,1.6,1.74,1.25,0.85,,,,,,,,,,
gun_12_x2,,305,gun_12_x2,,,tsesarevich_gun_305_x2,1,1.09,1.5,,irresistible_gun_305_x2,1.1,1.17,1.1,1.022,dreadnought_gun_305_x2,1.125,1.194375,1.14,1.097,dreadnought_gun_b_305_x2,1.15,1.21875,1.14,0.85,pola_gun_203_x2,1.6,1.74,1.25,0.85,,,,,,,,,,
gun_12_x3,,305,gun_12_x3,,,tsesarevich_gun_305_x3,1,1.09,1.5,,irresistible_gun_305_x3,1.1,1.17,1.1,1.022,dreadnought_gun_305_x3,1.125,1.194375,1.14,1.097,dreadnought_gun_b_305_x3,1.15,1.21875,1.14,0.85,pola_gun_203_x3,1.6,1.74,1.25,0.85,,,,,,,,,,
gun_13_x1,,330,gun_13_x1,,,friedrich_gun_305_x1,1.1,1.195,1.5,0.85,irresistible_gun_305_x1,1.2,1.2675,1.1,1.022,dreadnought_gun_305_x1,1.225,1.291875,1.14,1.097,dreadnought_gun_b_305_x1,1.25,1.33,1.14,,iowa_gun_406_x1,0.7563375,0.791724375,1.33,0.85,,,,,,,,,,
gun_13_x2,,330,gun_13_x2,,,friedrich_gun_305_x2,1.1,1.195,1.5,0.85,irresistible_gun_305_x2,1.2,1.2675,1.1,1.022,dreadnought_gun_305_x2,1.225,1.291875,1.14,1.097,dreadnought_gun_b_305_x2,1.25,1.33,1.14,,iowa_gun_406_x2,0.7563375,0.791724375,1.33,0.85,,,,,,,,,,
gun_13_x3,,330,gun_13_x3,,,friedrich_gun_305_x3,1.1,1.195,1.5,0.85,irresistible_gun_305_x3,1.2,1.2675,1.1,1.022,dreadnought_gun_305_x3,1.225,1.291875,1.14,1.097,dreadnought_gun_b_305_x3,1.25,1.33,1.14,,iowa_gun_406_x3,0.7563375,0.791724375,1.33,0.85,,,,,,,,,,
gun_14_x1,,356,gun_14_x1,,,dreadnought_gun_305_x1,1.26,1.32,1.14,1.15,dreadnought_gun_305_x1,1.3,1.365,1.12,1.097,dreadnought_gun_b_305_x1,1.325,1.389375,1.14,1.071,dreadnought_gun_305_x1,1.26,1.32,1.14,1.15,dreadnought_gun_305_x1,1.26,1.32,1.14,1.15,,,,,,,,,,
gun_14_x2,,356,gun_14_x2,,,dreadnought_gun_305_x2,1.26,1.32,1.14,1.15,dreadnought_gun_305_x2,1.3,1.365,1.12,1.097,dreadnought_gun_b_305_x2,1.325,1.389375,1.14,1.071,dreadnought_gun_305_x2,1.26,1.32,1.14,1.15,dreadnought_gun_305_x2,1.26,1.32,1.14,1.15,,,,,,,,,,
gun_14_x3,,356,gun_14_x3,,,dreadnought_gun_305_x3,1.26,1.32,1.14,1.15,dreadnought_gun_305_x3,1.3,1.365,1.12,1.097,dreadnought_gun_b_305_x3,1.325,1.389375,1.14,1.071,dreadnought_gun_305_x3,1.26,1.32,1.14,1.15,dreadnought_gun_305_x3,1.26,1.32,1.14,1.15,,,,,,,,,,
gun_15_x1,,381,gun_15_x1,,,dreadnought_gun_305_x1,1.33,1.39,1.14,1.15,dreadnought_gun_305_x1,1.4,1.4625,1.12,1.097,dreadnought_gun_b_305_x1,1.425,1.5,1.14,,dreadnought_gun_305_x1,1.33,1.39,1.14,1.15,dreadnought_gun_305_x1,1.33,1.39,1.14,1.15,,,,,,,,,,
gun_15_x2,,381,gun_15_x2,,,dreadnought_gun_305_x2,1.33,1.39,1.14,1.15,dreadnought_gun_305_x2,1.4,1.4625,1.12,1.097,dreadnought_gun_b_305_x2,1.425,1.5,1.14,,dreadnought_gun_305_x2,1.33,1.39,1.14,1.15,dreadnought_gun_305_x2,1.33,1.39,1.14,1.15,,,,,,,,,,
gun_15_x3,,381,gun_15_x3,,,dreadnought_gun_305_x3,1.33,1.39,1.14,1.15,dreadnought_gun_305_x3,1.4,1.4625,1.12,1.097,dreadnought_gun_b_305_x3,1.425,1.5,1.14,,dreadnought_gun_305_x3,1.33,1.39,1.14,1.15,dreadnought_gun_305_x3,1.33,1.39,1.14,1.15,,,,,,,,,,
gun_16_x1,,406,gun_16_x1,,,dreadnought_gun_305_x1,1.475,1.555,1.1,,dreadnought_gun_305_x1,1.5,1.5744375,1.12,1.046,yamato_gun_460_x1,0.888,0.9495509766,1.24,,iowa_gun_406_x1,0.913,0.944775,1.31,,iowa_gun_406_x1,0.9244125,0.9565846875,1.33,,,,,,,,,,,
gun_16_x2,,406,gun_16_x2,,,dreadnought_gun_305_x2,1.475,1.555,1.1,,dreadnought_gun_305_x2,1.5,1.5744375,1.12,1.046,yamato_gun_460_x2,0.888,0.9495509766,1.24,,iowa_gun_406_x2,0.913,0.944775,1.31,,iowa_gun_406_x2,0.9244125,0.9565846875,1.33,,,,,,,,,,,
gun_16_x3,,406,gun_16_x3,,,dreadnought_gun_305_x3,1.475,1.555,1.1,,dreadnought_gun_305_x3,1.5,1.5744375,1.12,1.046,yamato_gun_460_x3,0.888,0.9495509766,1.24,,iowa_gun_406_x3,0.913,0.944775,1.31,,iowa_gun_406_x3,0.9244125,0.9565846875,1.33,,,,,,,,,,,
gun_17_x1,,432,gun_17_x1,,,yamato_gun_460_x1,0.95,0.975,1.2,,yamato_gun_460_x1,0.961875,0.9871875,1.22,,yamato_gun_b_460_x1,0.9738984375,0.9995273438,1.24,,iowa_gun_406_x1,0.969,1.01,1.31,,iowa_gun_406_x1,0.9811125,1.024671703,1.33,,,,,,,,,,,
gun_17_x2,,432,gun_17_x2,,,yamato_gun_460_x2,0.95,0.975,1.2,,yamato_gun_460_x2,0.961875,0.9871875,1.22,,yamato_gun_b_460_x2,0.9738984375,0.9995273438,1.24,,iowa_gun_406_x2,0.969,1.01,1.31,,iowa_gun_406_x2,0.9811125,1.024671703,1.33,,,,,,,,,,,
gun_17_x3,,432,gun_17_x3,,,yamato_gun_460_x3,0.95,0.975,1.2,,yamato_gun_460_x3,0.961875,0.9871875,1.22,,yamato_gun_b_460_x3,0.9738984375,0.9995273438,1.24,,iowa_gun_406_x3,0.969,1.01,1.31,,iowa_gun_406_x3,0.9811125,1.024671703,1.33,,,,,,,,,,,
gun_18_x1,,457,gun_18_x1,,,yamato_gun_460_x1,1,1.04,1.2,,yamato_gun_460_x1,1.0125,1.053,1.22,,yamato_gun_b_460_x1,1.02515625,1.049503711,1.24,,yamato_gun_b_460_x1,1.037970703,1.062622507,1.26,,yamato_gun_b_460_x1,1.050945337,1.075905289,1.28,,,,,,,,,,,
gun_18_x2,,457,gun_18_x2,,,yamato_gun_460_x2,1,1.04,1.2,,yamato_gun_460_x2,1.0125,1.053,1.22,,yamato_gun_b_460_x2,1.02515625,1.049503711,1.24,,yamato_gun_b_460_x2,1.037970703,1.062622507,1.26,,yamato_gun_b_460_x2,1.050945337,1.075905289,1.28,,,,,,,,,,,
gun_18_x3,,457,gun_18_x3,,,yamato_gun_460_x3,1,1.04,1.2,,yamato_gun_460_x3,1.0125,1.053,1.22,,yamato_gun_b_460_x3,1.02515625,1.049503711,1.24,,yamato_gun_b_460_x3,1.037970703,1.062622507,1.26,,yamato_gun_b_460_x3,1.050945337,1.075905289,1.28,,,,,,,,,,,
gun_19_x1,,483,gun_19_x1,,,yamato_gun_460_x1,1.05,1.085,1.2,,yamato_gun_460_x1,1.063125,1.0985625,1.22,,yamato_gun_b_460_x1,1.076414063,1.099480078,1.24,,yamato_gun_b_460_x1,1.089869238,1.113223579,1.26,,yamato_gun_b_460_x1,1.103492604,1.127138874,1.28,,,,,,,,,,,
gun_19_x2,,483,gun_19_x2,,,yamato_gun_460_x2,1.05,1.085,1.2,,yamato_gun_460_x2,1.063125,1.0985625,1.22,,yamato_gun_b_460_x2,1.076414063,1.099480078,1.24,,yamato_gun_b_460_x2,1.089869238,1.113223579,1.26,,yamato_gun_b_460_x2,1.103492604,1.127138874,1.28,,,,,,,,,,,
gun_19_x3,,483,gun_19_x3,,,yamato_gun_460_x3,1.05,1.085,1.2,,yamato_gun_460_x3,1.063125,1.0985625,1.22,,yamato_gun_b_460_x3,1.076414063,1.099480078,1.24,,yamato_gun_b_460_x3,1.089869238,1.113223579,1.26,,yamato_gun_b_460_x3,1.103492604,1.127138874,1.28,,,,,,,,,,,
gun_20_x1,,508,gun_20_x1,,,yamato_gun_460_x1,1.1,1.14,1.2,,yamato_gun_460_x1,1.11375,1.15425,1.22,,yamato_gun_b_460_x1,1.127671875,1.16,1.24,,yamato_gun_b_460_x1,1.141767773,1.1745,1.26,,yamato_gun_b_460_x1,1.156039871,1.18918125,1.28,,,,,,,,,,,
gun_20_x2,,508,gun_20_x2,,,yamato_gun_460_x2,1.1,1.14,1.2,,yamato_gun_460_x2,1.11375,1.15425,1.22,,yamato_gun_b_460_x2,1.127671875,1.16,1.24,,yamato_gun_b_460_x2,1.141767773,1.1745,1.26,,yamato_gun_b_460_x2,1.156039871,1.18918125,1.28,,,,,,,,,,,
gun_20_x3,,508,gun_20_x3,,,yamato_gun_460_x3,1.1,1.14,1.2,,yamato_gun_460_x3,1.11375,1.15425,1.22,,yamato_gun_b_460_x3,1.127671875,1.16,1.24,,yamato_gun_b_460_x3,1.141767773,1.1745,1.26,,yamato_gun_b_460_x3,1.156039871,1.18918125,1.28,,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
casemate_1,,25,casemate_1,,,casemate_gun_152_x1,0.67,0.74,4.2,1.255,casemate_gun_152_x1,0.67,0.74,4.2,1.255,casemate_gun_150_x1,0.67,0.74,4.2,1.2,casemate_gun_150_x1,0.67,0.74,4.2,1.2,casemate_gun_150_x1,0.67,0.74,4.2,1.2,,,,,,,,,,
casemate_2,,51,casemate_2,,,casemate_gun_152_x1,0.76,0.85,4.2,1.255,casemate_gun_152_x1,0.76,0.85,4.2,1.255,casemate_gun_150_x1,0.76,0.85,4.2,1.2,casemate_gun_150_x1,0.76,0.85,4.2,1.2,casemate_gun_150_x1,0.76,0.85,4.2,1.2,,,,,,,,,,
casemate_3,,76,casemate_3,,,casemate_gun_152_x1,0.86,0.94,4.2,1.4,casemate_gun_152_x1,0.86,0.94,4.2,1.4,casemate_gun_150_x1,0.86,0.94,4.2,1.34,casemate_gun_150_x1,0.86,0.94,4.2,1.34,casemate_gun_150_x1,0.86,0.94,4.2,1.34,,,,,,,,,,
casemate_4,,102,casemate_4,,,casemate_gun_152_x1,0.96,1.1,4.2,1.376,casemate_gun_152_x1,0.96,1.1,4.2,1.376,casemate_gun_150_x1,0.96,1.1,4.2,1.315,casemate_gun_150_x1,0.96,1.1,4.2,1.315,casemate_gun_150_x1,0.96,1.1,4.2,1.315,,,,,,,,,,
casemate_5,,127,casemate_5,,,casemate_gun_152_x1,1.12,1.3,1.65,1.17,casemate_gun_152_x1,1.12,1.3,1.65,1.17,casemate_gun_150_x1,1.12,1.3,1.65,1.12,casemate_gun_150_x1,1.12,1.3,1.65,1.12,casemate_gun_150_x1,1.12,1.3,1.65,1.12,,,,,,,,,,
casemate_6,,152,casemate_6,,,casemate_gun_152_x1,1.32,1.46,0.9,1.11,casemate_gun_152_x1,1.32,1.46,0.9,1.11,casemate_gun_150_x1,1.32,1.46,0.9,1.06,casemate_gun_150_x1,1.32,1.46,0.9,1.06,casemate_gun_150_x1,1.32,1.46,0.9,1.06,,,,,,,,,,
casemate_7,,178,casemate_7,,,casemate_gun_150_x1,1.48,1.6,0.9,1.09,casemate_gun_150_x1,1.48,1.6,0.9,1.09,casemate_gun_150_x1,1.48,1.6,0.9,1.09,casemate_gun_150_x1,1.48,1.6,0.9,1.09,casemate_gun_150_x1,1.48,1.6,0.9,1.09,,,,,,,,,,
casemate_8,,203,casemate_8,,,casemate_gun_150_x1,1.62,1.77,0.9,1.11,casemate_gun_150_x1,1.62,1.77,0.9,1.11,casemate_gun_150_x1,1.62,1.77,0.9,1.11,casemate_gun_150_x1,1.62,1.77,0.9,1.11,casemate_gun_150_x1,1.62,1.77,0.9,1.11,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gun_2_x1_germany_cl, dd, tb",,51,gun_2_x1,germany,"cl, dd, tb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gun_2_x2_germany_cl, dd",,51,gun_2_x2,germany,"cl, dd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gun_2_x3_germany_cl, dd",,51,gun_2_x3,germany,"cl, dd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"gun_3_x1_germany_cl, dd, tb",,76,gun_3_x1,germany,"cl, dd, tb",maine_gun_152_x1,0.9,0.975,0.8,1.323,maine_gun_152_x1,0.9,0.975,0.8,1.323,maine_gun_152_x1,0.9,0.975,0.8,1.323,bismarck_gun_105_x1,00.86,1,1.025,1.625,bismarck_gun_105_x1,0.86,1,1.025,1.625,,,,,,,,,,
"gun_3_x2_germany_cl, dd",,76,gun_3_x2,germany,"cl, dd",maine_gun_152_x2,0.9,0.975,0.8,1.323,maine_gun_152_x2,0.9,0.975,0.8,1.323,maine_gun_152_x2,0.9,0.975,0.8,1.323,bismarck_gun_105_x2,0.86,1,1.025,1.625,bismarck_gun_105_x2,0.86,1,1.025,1.625,,,,,,,,,,
"gun_3_x3_germany_cl, dd",,76,gun_3_x3,germany,"cl, dd",maine_gun_152_x3,0.9,0.975,0.8,1.323,maine_gun_152_x3,0.9,0.975,0.8,1.323,maine_gun_152_x3,0.9,0.975,0.8,1.323,bismarck_gun_105_x3,0.86,1,1.025,1.625,bismarck_gun_105_x3,0.86,1,1.025,1.625,,,,,,,,,,
"gun_4_x1_germany_cl, dd, tb",,102,gun_4_x1,"austria,germany,netherlands","cl, dd, tb",spee_gun_150_x1,0.8,0.9,1.05,1.36,spee_gun_150_x1,0.8,0.9,1.05,1.36,spee_gun_150_x1,0.8,0.9,1.05,1.36,spee_gun_150_x1,0.8,0.9,1.05,1.36,spee_gun_150_x1,0.8,0.9,1.05,1.36,,,,,,,,,,
"gun_4_x2_germany_cl, dd",,102,gun_4_x2,"austria,germany,netherlands","cl, dd",spee_gun_150_x2,0.8,0.9,1.05,1.36,spee_gun_150_x2,0.8,0.9,1.05,1.36,spee_gun_150_x2,0.8,0.9,1.05,1.36,spee_gun_150_x2,0.8,0.9,1.05,1.36,spee_gun_150_x2,0.8,0.9,1.05,1.36,,,,,,,,,,
"gun_4_x3_germany_cl, dd",,102,gun_4_x3,"austria,germany,netherlands","cl, dd",spee_gun_150_x3,0.8,0.9,1.05,1.36,spee_gun_150_x3,0.8,0.9,1.05,1.36,spee_gun_150_x3,0.8,0.9,1.05,1.36,spee_gun_150_x3,0.8,0.9,1.05,1.36,spee_gun_150_x3,0.8,0.9,1.05,1.36,,,,,,,,,,
"gun_5_x1_germany_cl, dd",,127,gun_5_x1,"austria,germany,netherlands","cl, dd",dd_s_gun_d_102_x1,1.2,1.35,1.1,1.28,vdt_gun_200_x1,1,1.0725,1.55,0.987,spee_gun_150_x1,1.05,1.15,1.15,1.012,spee_gun_150_x1,1.1,1.2,1.15,1.19,spee_gun_150_x1,1.1,1.2,1.15,1.19,,,,,,,,,,
