@name,value,#comment,#,#,#,str,#,#,#
sub_zone_radius_min,15,min radius of submarine zone in km,,,,,,,
sub_zone_radius_max,50,max radius of submarine zone in km,,,,,,,
submarine_attack_range_mod,0.006,additional modifier for sub denial zone,,,,,,,
denial_zone_size_modifier,0.0091,additional modifier for ship denial zone,,,,,,,
province_income_tension_modifier,0.25,,,,,,,,
negative_tension_threshold,1,,,,,,,,
tension_power_threshold,1.25,,,,,,,,
#,,Measures,,,,,,,
speed_step,0.1,minimal step of step for constructor/growth (in knots),0.5,,,,,,
tonnage_step,1,minimal step of tonnage for constructor/growth,100,,,,,,
armor_step_mm,2.5,armor increment step in mm (for armor zones),5,,,,,,
armor_step_inch,0.1,armor increment step in inches (for armor zones),0.5,,,,,,
beam_draught_step,0.2,minimal step for beam/draught edit,,,,,,,
#,,Ship Build/Repair/Refit,,,,,,,
ship_construction_time_modifier,0.6,modifier to the ship construction time,1,,,,,,
repair_cost_mult,0.5,repair cost (multiplier to build cost),1.5,,,,,,
repair_time_mult,0.45,repair time (multiplier to build time),0.3,,,,,,
commissioning_cost_mult,0.7,commissioning cost (multiplier to build cost),,,,,,,
commissioning_time_mult,0.12,commissioning time (multiplier to build time),,,,,,,
refit_cost_mult,1,refit cost (multiplier to build cost),,,,,,,
refit_simple_mult,0.05,standart refit_cost_mult and refit_time_mult if no added on refit ship new Parts,,,,,,,
refit_time_simple_mult,0.05,refit simple construction time mod,,,,,,,
refit_time_mult,0.3,refit time (multiplier to build time),,,,,,,
refit_time_modifier,0.3,For New Calculate Refit Time,,,,,,,
ai_refit_base,0.5,"Choose whether to create an updated design based on existing designs, or create a new one and build.",,,,,,,
ai_refit_simple,0.7,Сhoice between updating only technical characteristics of the ship and replacing parts.,,,,,,,
refit_min_speed_threshold_decrease,0.275,Multiplier for minimum speed on Auto-Refit.,,,,,,,
ai_ship_gdp_ratio,40000,"threshold that makes AI to stop building ships. As we enlarge, the AI will stop building ships sooner in relation to GDP/Tonnage.",,,,,,,
build_ships_min_crew_pool_amount,1500,Min crew in pool to build new ships,,,,,,,
override_shipybuilding_limit,1.25,Percentage above shipbuilding capacity where the AI will desire to stop ordering new ships,,,,,,,
base_flaws_chance,60,Base Flaws Chance,,,,,,,
refit_flaws_repair_base,0.45,Base Repair Chance for Reduce Flaws Effect,,,,,,,
#,,Material Costs,,,Price Modifier,,,,
price_steel,0.238,steel,53,0.477,0.009,,,,
price_nickel,6.304,nickel,1401,12.609,,,,,
price_chrome,3.442,chrome,765,6.885,,,,,
price_molybdenum,44.2,molybdenum,9800,88.2,,,,,
price_copper,2.623,copper,583,5.247,,,,,
price_hull,1500,hull foundation,,,,,,,
price_surv,450,"""survivability"" hull's portion",,,,,,,
price_armor,900,armor material (mix),,,,,,,
price_turret,9000,turret's foundation,,,,,,,
price_barrel,25000,barrel (mix),,,,,,,
price_engine,15,engine (mix),143.1,,,,,,
price_anti_torp,1300,anti-torpedo protection,,,,,,,
price_fuel,250,fuel storage (not itself),,,,,,,
price_ammo,2800,ammo storage (not itself),,,,,,,
price_torpedoes,7500,torpedo tubes,,,,,,,
#,,Research,,,,,,,
research_progress_base,1.55,"base research progress (percent), will take 100/x months to research technology",0.8,,,,,,
research_late_years_to_double,5,"double research speed, if technology is late by this amount of years",6,,,,,,
research_early_years_to_stall,9,"zero research speed, if tech is too early by this amount of years",10,,,,,,
research_time_mod_min,0.4,lowest possible research multiplier from time difference,0.75,,,,,,
research_time_mod_max,1.35,highest possible research multiplier from time difference,1.15,,,,,,
research_budget_mod_min,0.67,highest possible research multiplier from budget difference to richest player,0.5,,,,,,
research_priority_weight,5,increased weight for prioritized researches,2,,,,,,
research_priority_penalty,4,weight penalty for non prioritized researches,8,,,,,,
tech_mod_randomness,0,randomness for each player's hidden research mod for each tech type: one plus minus this value,0.3,,,,,,
tech_budget_max,50,"maximal amount of budget spent on research, percent",50,,,,,,
tech_budget_boost,110,"boost of research from maximum tech budget relative to average budget (percent), if above average",30,"formula: b1, see formula:",https://www.desmos.com/calculator/v2kyqokmeb,,,,
tech_budget_reduce,100,"reduce of research from maximum tech budget relative to average budget (percent), if below average",100,formula: b2,,,,,
tech_budget_curver,3.8,curver of arc for tech research speed formula,5.7,formula: a,,,,,
tech_priorities,3,max amount of tech priorities,3,,,,,,
hide_research_below,25,hide research info if progress is below this percent,30,,,,,,
#,,Intelligence,,,,,,,
intel_budget_max,25,"maximal amount of budget spent on intelligence, percent",25,,,,,,
#,,Crew Training,,,,,,,
population_max_lerp_factor,1.75,maximal modifier of population in 1940,,,,,,,
crew_pool_modifier,0.0002,the initial crew pool modifier depending on Home population,,,,,,,
crew_pool_income_modifier_max,0.00003,how much crew can be added per turn according to GDP,,,,,,,
crew_pool_max_ratio,2,How many times the Crew Pool is bigger than the Sum of Crew used in ships to minimize the cost of Crew Pool reserve,,,,,,,
crew_budget_cost_modifier,1000,how much it costs the crew budget per turn modifier,,,,,,,
training_budget_max,50,maximal amount of budget spent on crew training (percent),25,,,,,,
training_budget_start,0.25,initial amount of training budget (ratio of max),0.2,,,,,,
training_budget_required,0.15,"amount of budget to do positive training, not degrade (ratio of max) (less than start)",0.15,,,,,,
training_degrade_chance,15,chance to degrade crew from low training budget (percent),15,,,,,,
training_train_chance,15,chance to train crew from high training budget (percent),15,,,,,,
training_train_max,-1,"max level of training by budget (string, acc group, to the right)",crew_average,,,crew_average,,,
min_crew_pool_training_points,-6,min training points lost for crew pool due to lack of training funds,,,,,,,
max_crew_pool_training_points,6.5,max training points gained for crew pool due to training funds,,,,,,,
min_training_points,-5,min ship training points lost per turn due to lack of training funds,,,,,,,
max_training_points,10,max ship training points gained per turn from training funds,,,,,,,
battle_training_points_min,-35,min ship training points lost from battle,-10,,,,,,
battle_training_points_max,25,max ship training points gained from battle,10,,,,,,
limited_training_modifier,0.5,"training modifier for ships at ""limited"" mode",,,,,,,
ship_enemy_damage_training_modifier,0.011,xp gained modifier from damage,0.00125,,,,,,
ship_own_damage_training_modifier,0.006,xp lost modifier from damage ,0.002,,,,,,
ship_crew_loses_training_modifier,0.15,xp loss modifier from crew damage,0.1,,,,,,
campaign_crew_max_training_amount,0.35,max training points received from training (campaign),35,,,,,,
crew_damage_threshold,0.4,amount of damage to have chance to reduce crew training (ratio of 1),0.4,,,,,,
crew_battle_demote_chance,30,"chance to demote crew by one, if damage above threshold (percent)",30,,,,,,
crew_battle_promote_chance,30,"chance to promote crew by one, if damage below threshold (percent)",30,,,,,,
crew_weight_min,0.25,crew weight modifier at min operational range,,,,,,,
crew_weight_max,0.5,crew weight modifier at max operational range,,,,,,,
training_cost_min,0.1,training cost modifier minimum,0.0001,,,,,,
training_cost_max,0.5,training cost modifier maximum,0.00125,,,,,,
crew_quarters_min,0.8,modifier for crew numbers at minimum quarters,0.7,,,,,,
crew_quarters_max,1.2,modifier for crew numbers at maximum quarters,1,,,,,,
crew_quarters_min_threshold,1,min crew percent to operate stations without efficiency penalty (Min Quarters),1,,,,,,
crew_quarters_max_threshold,0.8,min crew percent to operate stations without efficiency penalty (Max Quarters),0.7,,,,,,
quarters_weight_expfactor,0.4,power factor for estimating  crew quarters weight according to displacement,0.5,,,,,,
quarters_weight_linearfactor,0.015,linear factor for estimating  crew quarters weight according to displacement,0.015,,,,,,
quarters_weight_to_cost_mod,1000,cost modifier for crew quarters per ton,1300,,,,,,
quarters_cost_mod,1,Final cost modifier for quarters,,,,,,,
hp_per_crew,9,health points of each crew member during combat,,,,,,,
he_crew_damage_multiplier,6.85,hp damage from HE shells,,,,,,,
ap_crew_damage_multiplier,5,hp damage from AP shells ,,,,,,,
crew_hit_shipsize_factor,0.66,power factor for determining crew losses according to ship size,,,,,,,
crew_damage_section_shipsize_factor,0.75,power factor for determining crew losses according to ship size for continuous effects (flooding/fire etc.),,,,,,,
crew_fire_damage,0.4,crew damage from fire modifier,12.5,,,,,,
section_total_flood_crew_damage,0.5,crew damage from flooding modifier,13,,,,,,
crew_loss_max_percents,0.65,crew loss max percentage modifier from a single hit ,0.2,,,,,,
crew_control_penalty_damage_control,0.5,"max. penalty for ""damage control"" to ""control"" station",0.5,,,,,,
crew_control_penalty_aiming,0.5,"max. penalty for ""aiming"" to ""control"" station",0.25,,,,,,
crew_main_guns_penalty_reload,0.95,"max. penalty for ""reload"" to ""main guns"" station",0.25,,,,,,
crew_main_guns_penalty_long_accuracy,0.9,"max. penalty for ""long range accuracy"" to ""main guns"" station",0.1,,,,,,
crew_sec_guns_penalty_reload,0.95,"max. penalty for ""reload"" to ""sec guns"" station ",0.25,,,,,,
crew_sec_guns_penalty_long_accuracy,0.9,"max. penalty for ""long range accuracy"" to ""sec guns"" station",0.1,,,,,,
crew_torpedoes_penalty_reload,0.95,"max. penalty for ""reload"" to ""torpedoes"" station",0.25,,,,,,
crew_torpedoes_penalty_accuracy,0.5,"max. penalty for ""accuracy"" to ""torpedoes"" station",0.1,,,,,,
crew_damage_section_flood_threshold,20,damage to section needed to start causing flooding damage to crew,20,,,,,,
crew_damage_gun_torpedo_multiplier,8,crew damage modifier for detonations,,,,,,,
control_crew_damage_multiplier,1.1,"damage modifier to damage ""control"" crew",,,,,,,
main_guns_crew_damage_multiplier,1.3,"damage modifier to damage ""main guns"" crew",,,,,,,
sec_guns_crew_damage_multiplier,1.2,"damage modifier to damage ""sec guns "" crew",,,,,,,
torpedoes_crew_damage_multiplier,11,"damage modifier to damage ""torpedoes"" crew",,,,,,,
crew_ram_damage,2,damage crew modifier from ramming,,,,,,,
crew_percents_surrender_threshold,0.5,minimum crew to operate ship during combat for no surrender,,,,,,,
min_crew_threshold,0.7,minimum crew to operate ship in campaign,,,,,,,
hull_crew_base_factor,1,multiplier for crew modification according to hull weight,,,,,,,
#,,Loading Screens,,,,,,,
loading_chance_hint,25,chance of showing hint relating to history info,25,,,,,,
#,,CampaingMap,,,,,,,
scale_mult_indicator_oil_rebellion,0.35,Multiplier for the scale size of the Oil and Rebellion icons,25,,,,,,
#,,Events,,,,,,,
event_chance_happen_two,5,chance each turn to happen 2 events,0,,,,,,
event_chance_happen_one,15,chance each turn to happen 1 events,30,15,,,,,
event_wealth_mult,0.025,multiplier for delta wealth in event's answer to convert to wealth multiplier (1+multiplier),0.01,,,,,,
event_attitude_mult,1,multiplier for delta relation in event's answer to convert to attitude add,10,,,,,,
#,,Battle Generation,,,,,,,
Max_Battles,5,Maximum optional battles per turn,3,,,,,,
campaign_battle_distance_min,0.3,Campaign Battle distance modifier in 1890,,,,,,,
campaign_battle_distance_max,2,Campaign Battle distance modifier in 1940,,,,,,,
battle_chance,1000,chance every turn for battle with enemy player,80,,,,,,
key_battle_chance,100,chance for triggering a key battle each turn,50,,,,,,
rebattle_chance,30,"if player refused first battle, chance for second (UNIMPLEMENTED)",30,,,,,,
battle_avoid_threshold,1,threshold of relative ships' power for ai to avoid world combat (keep higher than general_retreat_threshold),0.4,,,,,,
crew_damage_min,0.24,min auto-resolve modifier for crew losses,,,,,,,
crew_damage_max,0.8,max auto-resolve modifier for crew losses,,,,,,,
power_estimation_cost_exp_ai,0.25,"...same, but used for ai during battle",0.4,,,,,,
power_estimation_cost_exp,0.33,power of exponent applied to cost to estimate generic power of ship,0.2,Autoresolve +10% cost (Should address a report of players),,,,,
power_armor_exp,0.85,autoresolve power factor for armor,0.45,,,,,,
power_speed_exp,0.375,autoresolve power factor for speed,0.6,,,,,,
power_firepower_exp,0.66,autoresolve power factor for firepower,0.68,,,,,,
power_ammo_exp,0.15,autoresolve power factor for ammo,0.1,,,,,,
power_crew_exp,0.15,autoresolve power factor for crew,0.1,,,,,,
blockade_income_modifier,0.45,how much % of GDP is lessened due to blockade,,,,,,,
blockader_vp_per_turn,350,how much VP is gained per turn for the blockader,,,,,,,
blockader_prestige_per_turn,-3,how much Naval Prestige is lost per turn for the blockaded,,,,,,,
blockader_unrest_per_turn,3,how much Unrest is increased per turn for the blockaded,,,,,,,
power_projection_modifier,0.00001,power projection modifier,,,,,,,
power_shiptype_factor,1.5,influence of ship type to power projection (exponent),,,,,,,
power_displacement_factor,1,influence of ship displacement to power projection (exponent),,,,,,,
power_range_factor,0.5,influence of ship range to power projection (exponent),,,,,,,
power_speed_factor,0.85,influence of ship speed to power projection (exponent),,,,,,,
power_firepower_factor,0.4,influence of ship speed to power projection (exponent),,,,,,,
power_projection_limited,0.5,"modifier of power projection for ships at ""Limited Mode""",,,,,,,
power_projection_defend,0.66,"modifier of power projection for ships at ""Defend Mode""",,,,,,,
power_projection_at_sea,2,modifier of power projection for ships at sea,,,,,,,
escort_power_in_being,0.9,,,,,,,,
escort_power_protect,1.75,,,,,,,,
escort_power_invade,0.5,,,,,,,,
escort_power_sea_control,1,,,,,,,,
raiding_power_in_being,0.5,,,,,,,,
raiding_power_protect,0.75,,,,,,,,
raiding_power_invade,1.75,,,,,,,,
raiding_power_sea_control,1,,,,,,,,
battle_tonnage_mod,1.2,tonnage affecting battle chance (exponent),0.2,,,,,,
battle_ships_mod,0.44,number of ships affecting battle chance (exponent),0.1,,,,,,
attack_tonnage_mod,0.75,tonnage affecting attacker/defender (exponent),1,,,,,,
attack_ships_mod,0.65,number of ships affecting attacker/defender (exponent),1,,,,,,
tonnage_diff_threshold,10,"if one side have ratio of tonnage to other's tonnage above this value, try to omit some ships from battle",10,,,,,,
tonnage_diff_threshold_port_missions,7,"if one side have ratio of tonnage to other's tonnage above this value, try to omit some ships from battle",3,,,,,,
avoid_battle_vp,100,vp pentalty for avoiding battle,-100,,,,,,
port_capacity_penalty_threshold,2,threshold of Max. Port Capacity penalty,,,,,,,
port_capacity_penalty,0.5,Max. penalty of ship maintainance when Port Capacity becomes full over a threshold,,,,,,,
vp_to_funds_multiplier,7500,conversion of VP difference to money for the war winner,,,,,,,
avoid_per_tr_vp,75,vp penalty additionally per each defended merchant,-25,,,,,,
vp_min_multiplier,0.1,vp multiplier at max. campaign year (as compensation factor for the increased ship costs),,,,,,,
cost_to_vp,0.00085,ship's cost to vp conversion ratio,0.001,0.00115,,,,,
total_fleet_modifier_max_divisor,0.25,"The smaller, the larger impact will have a loss for a fleet according to total fleet",,,,,,,
total_fleet_vp_factor,0.1,"exponential factor increasing the VP influence according to Total fleet of opponent, if we want linear effect, we set it to 1. Smaller values increase the VP.",,,,,,,
peace_min_vp_difference,10000,minimum VP difference from enemy to trigger Peace Negotiations Event,15000,,,,,,
peace_enemy_vp_ratio ,1.5,minimum VP ratio of Winner for Peace Negotiations Event,,,,,,,
peace_vp_sum_prolonged_war,45000,minimum VP sum (Player+Enemy) to check for peace negotiations,,,,,,,
peace_treaty_chance_per_month,20,base chance to have peace after peace event,,,,,,,
player_decision_chance_agree,31,chance addition when player agrees for Peace,31,,,,,,
player_decision_chance_fight,-15,chance subtraction when player disagrees for Peace,-10,,,,,,
take_preparation_chance,0.75,chance that our proposal for war reparations is accepted,,,,,,,
peace_event_cooldown_turns_rnd_max,5,max. turns to trigger new peace negotiations after previous event,,,,,,,
tr_capacity_bonus,0.25,bonus to GDP for max. TR capacity,,,,,,,
ai_min_tr_capacity_expenses,7,ratio of expenses to Monthly Naval Funds to reduce TR Capacity to min. setting,,,,,,,
ai_max_tr_capacity_expenses,0.1,ratio of expenses to Monthly Naval Funds to increase TR Capacity to max. setting,,,,,,,
ai_shipyard_threshold_cost,0.25,ratio of expenses to Monthly Naval Funds to stop Shipyard development,,,,,,,
ai_min_crew_training_expenses,7,ratio of expenses to Monthly Naval Funds to reduce Crew Training to min. setting,,,,,,,
ai_max_crew_training_expenses,0.025,ratio of expenses to Monthly Naval Funds to increase Crew Training to max. setting,,,,,,,
ai_difficulty_normal_income_multiplier,1,modifier of AI GDP in Normal Difficulty Mode,,,,,,,
ai_difficulty_hard_income_multiplier,1.25,modifier of AI GDP in Hard Difficulty Mode,,,,,,,
ai_difficulty_legendary_income_multiplier,1.5,modifier of AI GDP in Legendary Difficulty Mode,,,,,,,
ai_difficulty_hard_tech_multiplier,1.2,modifier of AI tech n Hard Difficulty Mode,,,,,,,
ai_difficulty_legendary_tech_multiplier,1.3,modifier of AI tech in Legendary Difficulty Mode,,,,,,,
ai_opponent_replacement_money,5,how much money bonus is applied when a new AI Opponent replacement arrives.,,,,,,,
tr_capacity_cost,0.0015,percentage of GDP as max. cost of TR capacity,,,,,,,
tr_loss_income_modifier,0.0000012,proportion of nation income for 1x loss of TR,0.0000001,,,,,,
tr_loss_gdp_modifier,0.00000045,proportion of nation gdp for 1x loss of TR,,,,,,,
transport_capacity_factor,15,linear factor affecting how much % of transport capacity is growing per turn,,,,,,,
trLossesDissipateStep,0.05,step to reduce tr losses per turn,,,,,,,
tr_loss_factor,25,linear factor that affects how much transport capacity % is lost for every TR loss,,,,,,,
tr_combat_vp_modifier,75,"modifier for vp on TR that are lost in combat (without it, the VP is too small)",,,,,,,
tr_combat_vp_modifier_actual,0.1,"modifier for vp on TR that are lost in combat (without it, the VP is too small)",,,,,,,
naval_prestige_vs_unrest_threshold,0,"if naval prestige >= to this value, then no game over after revolution",,,,,,,
goverment_changed_naval_funds_penalty,0.5,penalty of state budget after revolution,,,,,,,
goverment_changed_penalty_decrease_per_turn,0.05,dissipation per turn of revolution penalty,,,,,,,
tr_loss_event_chance,100,chance of tr loss,,,,,,,
base_tr_loss,0.000066,linear factor that increases/decreases random TR losses per turn,,,,,,,
tr_loss_development,175000,modifier of TR losses depending on sum of Province development,,,,,,,
not_sunk_vp_mult,0.05,"if ship is not sunk (just damage), apply this mult to vp calculation",0.5,,,,,,
war_weariness_reputation,0,decrease of reputation each turn during war (TODO: make initial boost from respect and goverment type),0,,,,,,
war_weariness_respect,0,decrease of respect each turn during war,-2.5,,,,,,
vp_to_reputation,0.00225,"how vp from battle affects prestige, multiplier",0.002,,,,,,
vp_to_respect,0.00075,"how vp from battle affects unrest, multiplier",0.002,,,,,,
war_min_duration,5,minimal amount of turns for war before any peace,5,,,,,,
